2026-02-05 11:35:51,239 | INFO | inventory_ingest | Rows: 5, Columns: 3
2026-02-05 11:35:51,248 | INFO | inventory_ingest | Time taken for Rating_Icon.xlsx: 0.00 minutes
2026-02-05 11:35:51,248 | INFO | inventory_ingest | All files ingested successfully
2026-02-05 11:37:48,910 | INFO | inventory_ingest | Connected to database
2026-02-05 11:37:48,912 | INFO | inventory_ingest | Loading file: blinkit_products.csv
2026-02-05 11:37:48,919 | INFO | inventory_ingest | Rows: 237, Columns: 10
2026-02-05 11:37:48,986 | INFO | inventory_ingest | Time taken for blinkit_products.csv: 0.00 minutes
2026-02-05 11:37:48,986 | INFO | inventory_ingest | Loading file: blinkit_marketing_performance.csv
2026-02-05 11:37:48,992 | INFO | inventory_ingest | Rows: 9864, Columns: 11
2026-02-05 11:37:49,609 | INFO | inventory_ingest | Time taken for blinkit_marketing_performance.csv: 0.01 minutes
2026-02-05 11:37:49,609 | INFO | inventory_ingest | Loading file: blinkit_inventory.csv
2026-02-05 11:37:49,644 | INFO | inventory_ingest | Rows: 259752, Columns: 4
2026-02-05 11:37:54,992 | INFO | inventory_ingest | Time taken for blinkit_inventory.csv: 0.09 minutes
2026-02-05 11:37:54,993 | INFO | inventory_ingest | Loading file: blinkit_customer_feedback.csv
2026-02-05 11:37:55,030 | INFO | inventory_ingest | Rows: 50000, Columns: 8
2026-02-05 11:37:56,934 | INFO | inventory_ingest | Time taken for blinkit_customer_feedback.csv: 0.03 minutes
2026-02-05 11:37:56,934 | INFO | inventory_ingest | Loading file: blinkit_order_items.csv
2026-02-05 11:37:56,971 | INFO | inventory_ingest | Rows: 225238, Columns: 5
2026-02-05 11:38:02,836 | INFO | inventory_ingest | Time taken for blinkit_order_items.csv: 0.10 minutes
2026-02-05 11:38:02,837 | INFO | inventory_ingest | Loading file: blinkit_customers.csv
2026-02-05 11:38:02,865 | INFO | inventory_ingest | Rows: 25000, Columns: 11
2026-02-05 11:38:04,165 | INFO | inventory_ingest | Time taken for blinkit_customers.csv: 0.02 minutes
2026-02-05 11:38:04,166 | INFO | inventory_ingest | Loading file: blinkit_customer_feedback.xlsx
2026-02-05 11:38:05,777 | INFO | inventory_ingest | Rows: 50000, Columns: 8
2026-02-05 11:38:07,872 | INFO | inventory_ingest | Time taken for blinkit_customer_feedback.xlsx: 0.06 minutes
2026-02-05 11:38:07,872 | INFO | inventory_ingest | Loading file: Category_Icons.xlsx
2026-02-05 11:38:07,877 | INFO | inventory_ingest | Rows: 11, Columns: 2
2026-02-05 11:38:07,879 | INFO | inventory_ingest | Time taken for Category_Icons.xlsx: 0.00 minutes
2026-02-05 11:38:07,880 | INFO | inventory_ingest | Loading file: blinkit_orders.csv
2026-02-05 11:38:07,932 | INFO | inventory_ingest | Rows: 50000, Columns: 10
2026-02-05 11:38:10,373 | INFO | inventory_ingest | Time taken for blinkit_orders.csv: 0.04 minutes
2026-02-05 11:38:10,373 | INFO | inventory_ingest | Loading file: blinkit_delivery_performance.csv
2026-02-05 11:38:10,404 | INFO | inventory_ingest | Rows: 50000, Columns: 8
2026-02-05 11:38:12,336 | INFO | inventory_ingest | Time taken for blinkit_delivery_performance.csv: 0.03 minutes
2026-02-05 11:38:12,337 | INFO | inventory_ingest | Loading file: Rating_Icon.xlsx
2026-02-05 11:38:12,341 | INFO | inventory_ingest | Rows: 5, Columns: 3
2026-02-05 11:38:12,345 | INFO | inventory_ingest | Time taken for Rating_Icon.xlsx: 0.00 minutes
2026-02-05 11:38:12,345 | INFO | inventory_ingest | All files ingested successfully
